id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases
,,,,,,,,,,,,,,,,,,,,18,12,"Testing Documentation. Pavel Polyakov",1
152,"Add customer/Compliance with the mockup",,"Open https://demo.guru99.com/telecom/addcustomer.php",,,low,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. There is a logo in the header of the page
2. There is a name of the page ""Add Customer"" below the logo
3. There is a header "" Background Check ""
4. There are 2 radio buttons ""Done"" and ""Pending""
5. There is a header "" Billing address""
6. There are 5 text fields with the name and placeholder which repeats its name
7. There is a button SUBMIT
8. There is a button RESET
9. There is a Hamburger menu button
","1. Logo in the header of the page is present
2. The name of the page ""Add Customer"" below the logo is present
3. Header ""Background Check"" is present
4. Radio buttons ""Done"" and ""Pending"" are present
5. Header ""Billing address"" is present
6. 5 fields with placeholder are present
7. SUBMIT button is present
8. RESET button is present
9. Hamburger menu is present
","1. 
2. 
3. 
4. 
5. 
6. FirstName, LastName, Email, Enter your address, Mobile Number
7. 
8. 
9. 
",,,18,12,"Testing Documentation. Pavel Polyakov",
153,"Add customer/Logo redirects to main page",,"Open https://demo.guru99.com/telecom/addcustomer.php",,,low,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Click on the Logo sign in the page header
","1. Redirected to Main Page
","1. 
",,,18,12,"Testing Documentation. Pavel Polyakov",
154,"Add customer/Hamburger menu design and actions",,"1. Open https://demo.guru99.com/telecom/addcustomer.php
2. Open Hamburger Menu",,,low,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Click outside the hamburger menu
2. Click on the Hamburger menu button
3. Click on X button
4. Click on the Hamburger menu button
5. Check that there are 5 buttons
6. Click on any button except X
","1. Hamburger menu is closed
2. Hamburger menu opens
3. Hamburger menu is closed
4. Hamburger menu is open
5. There are 5 buttons
6. Redirected to button destination
","1. 
2. 
3. 
4. 
5. Home, Add Customer, Add Tariff Plans, Add Tariff Plan to Customer, Pay Billing
6. 
",,,18,12,"Testing Documentation. Pavel Polyakov",
155,"Add customer/Background Check - radio button - selected one","Open https://demo.guru99.com/telecom/addcustomer.php",,,,low,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Click on Done radio button
2. Click on Pending radio button
","1. Only Done radio button filled
2. Only Pending radio button filled
","1. 
2. 
",,,18,12,"Testing Documentation. Pavel Polyakov",
156,"Add customer/Fields Highlight",,"Open https://demo.guru99.com/telecom/addcustomer.php",,,low,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Click on any text field
","1. Selected field highlighted blue
","1. 
",,,18,12,"Testing Documentation. Pavel Polyakov",
157,"Add customer/Submitting blank form",,"Open https://demo.guru99.com/telecom/addcustomer.php",,,low,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Press SUBMIT button
","1. Message popup : ""please fill all fields""
","1. 
",,,18,12,"Testing Documentation. Pavel Polyakov",
158,"Add customer/Reset button resets all information",,"1. Open https://demo.guru99.com/telecom/addcustomer.php
2. Fill all fields in the form",,,low,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Press Reset button
","1. All information from the fields is deleted
","1. 
",,,18,12,"Testing Documentation. Pavel Polyakov",
159,"Add customer/Registration",,"1. Open https://demo.guru99.com/telecom/addcustomer.php
2. Fill all fields in the form",,,high,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Press SUBMIT button
2. Check for a Customer ID ( Number of 6 digits), message Please Note Down Your Customer ID, and Home button
3. Press Home button
","1. Access Details to Guru99 Telecom page opens
2. Customer ID ( Number of 6 digits), message Please Note Down Your Customer ID, and Home button are present
3. Redirected to the Main page
","1. 
2. 
3. 
",,,18,12,"Testing Documentation. Pavel Polyakov",
160,"Add customer/First Name Validation - numbers",,"1. Open https://demo.guru99.com/telecom/addcustomer.php
2. Fill all fields except First Name with valid data",,,medium,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Fill First Name with numbers
","1. Message appears - ""Numbers are not allowed""
","1. ex:348353985
",,,18,12,"Testing Documentation. Pavel Polyakov",
